BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2013-07-26,ТМК ао,TRMK,0,0.0,,,,83.98,,,0,83.96,83.96,83.96,576803.0,576803.0,576803.0,,3,0.0
TQBR,2013-07-29,ТМК ао,TRMK,0,0.0,,,,83.48,,,0,83.94,83.94,83.94,1098766.0,1098766.0,1098766.0,,3,0.0
TQBR,2013-07-30,ТМК ао,TRMK,0,0.0,,,,85.0,,,0,84.67,84.67,84.67,3242861.9,3242861.9,3242861.9,,3,0.0
TQBR,2013-07-31,ТМК ао,TRMK,0,0.0,,,,85.5,,,0,85.23,85.23,85.23,10941580.3,10941580.3,10941580.3,,3,0.0
TQBR,2013-08-01,ТМК ао,TRMK,0,0.0,,,,86.4,,,0,86.42,86.42,86.42,5386784.5,5386784.5,5386784.5,,3,0.0
TQBR,2013-08-02,ТМК ао,TRMK,0,0.0,,,,87.05,,,0,87.38,87.38,87.38,31582981.8,31582981.8,31582981.8,,3,0.0
TQBR,2013-08-05,ТМК ао,TRMK,0,0.0,,,,87.47,,,0,87.37,87.37,87.37,12301995.3,12301995.3,12301995.3,,3,0.0
TQBR,2013-08-06,ТМК ао,TRMK,0,0.0,,,,86.87,,,0,87.69,87.69,87.69,4415128.3,4415128.3,4415128.3,,3,0.0
TQBR,2013-08-07,ТМК ао,TRMK,0,0.0,,,,87.28,,,0,87.51,87.51,87.51,9630440.2,9630440.2,9630440.2,,3,0.0
TQBR,2013-08-08,ТМК ао,TRMK,0,0.0,,,,87.62,,,0,87.68,87.68,87.68,4689000.9,4689000.9,4689000.9,,3,0.0
TQBR,2013-08-09,ТМК ао,TRMK,0,0.0,,,,88.28,,,0,87.93,87.93,87.93,3157507.9,3157507.9,3157507.9,,3,0.0
TQBR,2013-08-12,ТМК ао,TRMK,0,0.0,,,,90.63,,,0,89.99,89.99,89.99,10170562.1,10170562.1,10170562.1,,3,0.0
TQBR,2013-08-13,ТМК ао,TRMK,0,0.0,,,,90.5,,,0,90.75,90.75,90.75,3334279.6,3334279.6,3334279.6,,3,0.0
