BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Таттел. ао,TTLK,36,307351.4,0.15009,0.14986,0.152,0.15199,0.1514,0.152,2030000,,0.15122,,0.0,506573.3,0.0,,3,0.0
TQBR,2014-06-10,Таттел. ао,TTLK,49,1143714.1,0.15008,0.15,0.152,0.15092,0.15089,0.15092,7580000,0.15089,0.15089,0.15089,1143714.1,1143714.1,1143714.1,,3,-0.0071052631578947
TQBR,2014-06-11,Таттел. ао,TTLK,12,370707.8,0.151,0.15032,0.15201,0.15149,0.15193,0.152,2440000,,0.15164,,0.0,521627.8,0.0,,3,0.0071561091969255
TQBR,2014-06-16,Таттел. ао,TTLK,4,9123.4,0.15205,0.15201,0.15223,0.15223,0.15206,0.15223,60000,,0.15164,,0.0,530751.2,0.0,,3,0.0015131578947368
TQBR,2014-06-17,Таттел. ао,TTLK,14,367937.4,0.15204,0.152,0.1521,0.152,0.15204,0.152,2420000,,0.15201,,0.0,535084.6,0.0,,3,-0.001510871707285
TQBR,2014-06-18,Таттел. ао,TTLK,4,33442.7,0.15201,0.152,0.15223,0.15223,0.15201,0.15223,220000,,0.15201,,0.0,568527.3,0.0,,3,0.0015131578947368
TQBR,2014-06-19,Таттел. ао,TTLK,2,3040.3,0.15201,0.15201,0.15202,0.15202,0.15202,0.15202,20000,,0.15201,,0.0,571567.6,0.0,,3,-0.0013794915588255
TQBR,2014-06-20,Таттел. ао,TTLK,4,22801.7,0.15203,0.152,0.15203,0.15202,0.15201,0.15202,150000,,0.15201,,0.0,594369.3,0.0,,3,0.0
TQBR,2014-06-23,Таттел. ао,TTLK,13,126906.7,0.152,0.1509,0.1543,0.15399,0.1529,0.1543,830000,,0.15225,,0.0,514608.0,0.0,,3,0.0149980265754506
TQBR,2014-06-24,Таттел. ао,TTLK,8,26067.7,0.15821,0.15226,0.15821,0.15231,0.15334,0.15231,170000,,0.1523,,0.0,540675.7,0.0,,3,-0.012896953985742
TQBR,2014-06-25,Таттел. ао,TTLK,3,6002.9,0.15003,0.15,0.15023,0.15023,0.15007,0.15023,40000,,0.15228,,0.0,546678.6,0.0,,3,-0.0136563587420392
TQBR,2014-06-26,Таттел. ао,TTLK,0,0.0,,,,0.15023,,,0,,0.15228,,0.0,546678.6,0.0,,3,0.0
TQBR,2014-06-27,Таттел. ао,TTLK,0,0.0,,,,0.15023,,,0,,0.15228,,0.0,546678.6,0.0,,3,0.0
TQBR,2014-06-30,Таттел. ао,TTLK,12,37956.0,0.15006,0.15006,0.154,0.15237,0.15182,0.15237,250000,,0.15225,,0.0,584634.6,0.0,,3,0.0
TQBR,2014-07-01,Таттел. ао,TTLK,4,9213.8,0.152,0.152,0.15669,0.15669,0.15356,0.15669,60000,,0.15232,,0.0,502648.4,0.0,,3,0.028352037802717
TQBR,2014-07-02,Таттел. ао,TTLK,0,0.0,,,,0.15669,,,0,,0.15232,,0.0,502648.4,0.0,,3,0.0
TQBR,2014-07-03,Таттел. ао,TTLK,10,39887.6,0.154,0.152,0.154,0.152,0.15341,0.152,260000,,0.1524,,0.0,533413.4,0.0,,3,0.0
TQBR,2014-07-04,Таттел. ао,TTLK,0,0.0,,,,0.152,,,0,,0.1524,,0.0,533413.4,0.0,,3,0.0
