BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ТЗА ао,TUZA,1,4600,115.0,115.0,115.0,115.0,115.0,115.0,40,,111.04,,0,22838112.4,0.0,,3,0.0
TQBR,2014-06-10,ТЗА ао,TUZA,0,0,,,,115.0,,,0,,111.04,,0,22838112.4,0.0,,3,0.0
TQBR,2014-06-11,ТЗА ао,TUZA,0,0,,,,115.0,,,0,,111.04,,0,22838112.4,0.0,,3,0.0
TQBR,2014-06-16,ТЗА ао,TUZA,0,0,,,,115.0,,,0,,111.04,,0,22838112.4,0.0,,3,0.0
TQBR,2014-06-17,ТЗА ао,TUZA,0,0,,,,115.0,,,0,,111.04,,0,22838112.4,0.0,,3,0.0
TQBR,2014-06-18,ТЗА ао,TUZA,0,0,,,,115.0,,,0,,111.04,,0,22838112.4,0.0,,3,0.0
TQBR,2014-06-19,ТЗА ао,TUZA,0,0,,,,115.0,,,0,,111.04,,0,22838112.4,0.0,,3,0.0
TQBR,2014-06-20,ТЗА ао,TUZA,0,0,,,,115.0,,,0,,111.04,,0,22838112.4,0.0,,3,0.0
TQBR,2014-06-23,ТЗА ао,TUZA,1,4600,115.0,115.0,115.0,115.0,115.0,115.0,40,,111.04,,0,22842712.4,0.0,,3,0.0
TQBR,2014-06-24,ТЗА ао,TUZA,0,0,,,,115.0,,,0,,111.04,,0,22842712.4,0.0,,3,0.0
TQBR,2014-06-25,ТЗА ао,TUZA,0,0,,,,115.0,,,0,,111.04,,0,22842712.4,0.0,,3,0.0
TQBR,2014-06-26,ТЗА ао,TUZA,0,0,,,,115.0,,,0,,111.04,,0,22842712.4,0.0,,3,0.0
TQBR,2014-06-27,ТЗА ао,TUZA,0,0,,,,115.0,,,0,,111.04,,0,22842712.4,0.0,,3,0.0
TQBR,2014-06-30,ТЗА ао,TUZA,0,0,,,,115.0,,,0,,111.04,,0,22842712.4,0.0,,3,0.0
TQBR,2014-07-01,ТЗА ао,TUZA,0,0,,,,115.0,,,0,,111.04,,0,22842712.4,0.0,,3,0.0
TQBR,2014-07-02,ТЗА ао,TUZA,0,0,,,,115.0,,,0,,111.04,,0,22842712.4,0.0,,3,0.0
TQBR,2014-07-03,ТЗА ао,TUZA,0,0,,,,115.0,,,0,,111.04,,0,22842712.4,0.0,,3,0.0
TQBR,2014-07-04,ТЗА ао,TUZA,0,0,,,,115.0,,,0,,111.04,,0,22842712.4,0.0,,3,0.0
TQBR,2014-07-07,ТЗА ао,TUZA,0,0,,,,115.0,,,0,,111.04,,0,22842712.4,0.0,,3,0.0
TQBR,2014-07-08,ТЗА ао,TUZA,0,0,,,,115.0,,,0,,111.04,,0,22842712.4,0.0,,3,0.0
TQBR,2014-07-09,ТЗА ао,TUZA,1,11100,111.0,111.0,111.0,111.0,111.0,111.0,100,,111.04,,0,22853812.4,0.0,,3,0.0
TQBR,2014-07-10,ТЗА ао,TUZA,0,0,,,,111.0,,,0,,111.04,,0,22853812.4,0.0,,3,0.0
TQBR,2014-07-11,ТЗА ао,TUZA,0,0,,,,111.0,,,0,,111.04,,0,22853812.4,0.0,,3,0.0
TQBR,2014-07-14,ТЗА ао,TUZA,0,0,,,,111.0,,,0,,111.04,,0,22853812.4,0.0,,3,0.0
TQBR,2014-07-15,ТЗА ао,TUZA,0,0,,,,111.0,,,0,,111.04,,0,22853812.4,0.0,,3,0.0
TQBR,2014-07-16,ТЗА ао,TUZA,0,0,,,,111.0,,,0,,111.04,,0,22853812.4,0.0,,3,0.0
TQBR,2014-07-17,ТЗА ао,TUZA,0,0,,,,111.0,,,0,,111.04,,0,22853812.4,0.0,,3,0.0
TQBR,2014-07-18,ТЗА ао,TUZA,1,4400,110.0,110.0,110.0,110.0,110.0,110.0,40,,111.04,,0,22858212.4,0.0,,3,0.0
TQBR,2014-07-21,ТЗА ао,TUZA,0,0,,,,110.0,,,0,,111.04,,0,22858212.4,0.0,,3,0.0
TQBR,2014-07-22,ТЗА ао,TUZA,0,0,,,,110.0,,,0,,111.04,,0,22858212.4,0.0,,3,0.0
TQBR,2014-07-23,ТЗА ао,TUZA,0,0,,,,110.0,,,0,,111.04,,0,22858212.4,0.0,,3,0.0
TQBR,2014-07-24,ТЗА ао,TUZA,0,0,,,,110.0,,,0,,111.04,,0,22858212.4,0.0,,3,0.0
TQBR,2014-07-25,ТЗА ао,TUZA,0,0,,,,110.0,,,0,,111.04,,0,22858212.4,0.0,,3,0.0
TQBR,2014-07-28,ТЗА ао,TUZA,0,0,,,,110.0,,,0,,111.04,,0,22858212.4,0.0,,3,0.0
TQBR,2014-07-29,ТЗА ао,TUZA,0,0,,,,110.0,,,0,,111.04,,0,22858212.4,0.0,,3,0.0
TQBR,2014-07-30,ТЗА ао,TUZA,0,0,,,,110.0,,,0,,111.04,,0,22858212.4,0.0,,3,0.0
TQBR,2014-07-31,ТЗА ао,TUZA,0,0,,,,110.0,,,0,,111.04,,0,22858212.4,0.0,,3,0.0
TQBR,2014-08-01,ТЗА ао,TUZA,0,0,,,,110.0,,,0,,111.04,,0,22858212.4,0.0,,3,0.0
TQBR,2014-08-04,ТЗА ао,TUZA,0,0,,,,110.0,,,0,,111.04,,0,22858212.4,0.0,,3,0.0
TQBR,2014-08-05,ТЗА ао,TUZA,0,0,,,,110.0,,,0,,111.04,,0,22858212.4,0.0,,3,0.0
TQBR,2014-08-06,ТЗА ао,TUZA,0,0,,,,110.0,,,0,,111.04,,0,22858212.4,0.0,,3,0.0
TQBR,2014-08-07,ТЗА ао,TUZA,1,4360,109.0,109.0,109.0,109.0,109.0,109.0,40,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-08-08,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-08-11,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-08-12,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-08-13,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-08-14,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-08-15,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-08-18,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-08-19,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-08-20,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-08-21,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-08-22,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-08-25,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-08-26,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-08-27,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-08-28,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-08-29,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-09-01,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-09-02,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-09-03,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-09-04,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-09-05,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-09-08,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-09-09,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-09-10,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-09-11,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-09-12,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-09-15,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-09-16,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-09-17,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,111.04,,0,22862572.4,0.0,,3,0.0
TQBR,2014-09-18,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-19,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-22,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-23,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-24,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-25,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-26,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-29,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-09-30,ТЗА ао,TUZA,0,0,,,,109.0,,,0,,,,0,0.0,0.0,,3,0.0
