BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ОКС ао,UCSS,0,0,,,,1068.4,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-10,ОКС ао,UCSS,0,0,,,,1068.4,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-11,ОКС ао,UCSS,0,0,,,,1068.4,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-16,ОКС ао,UCSS,0,0,,,,1068.4,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-17,ОКС ао,UCSS,0,0,,,,1068.4,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-18,ОКС ао,UCSS,0,0,,,,1068.4,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-19,ОКС ао,UCSS,0,0,,,,1068.4,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-20,ОКС ао,UCSS,0,0,,,,1068.4,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-23,ОКС ао,UCSS,0,0,,,,1068.4,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-24,ОКС ао,UCSS,0,0,,,,1068.4,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-25,ОКС ао,UCSS,0,0,,,,1068.4,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-26,ОКС ао,UCSS,0,0,,,,1068.4,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-27,ОКС ао,UCSS,0,0,,,,1068.4,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-30,ОКС ао,UCSS,0,0,,,,1068.4,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-01,ОКС ао,UCSS,0,0,,,,1068.4,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-02,ОКС ао,UCSS,0,0,,,,1068.4,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-03,ОКС ао,UCSS,0,0,,,,1068.4,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-04,ОКС ао,UCSS,0,0,,,,1068.4,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-07,ОКС ао,UCSS,0,0,,,,1068.4,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-08,ОКС ао,UCSS,0,0,,,,1068.4,,,0,,,,0,0,0.0,,3,0.0
