BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ЮжКузб. ао,UKUZ,5,12888.1,804.7,804.7,815.0,815.0,805.5,815.0,16,,802.2,,0.0,505400.5,0.0,,3,0.0
TQBR,2014-06-10,ЮжКузб. ао,UKUZ,0,0.0,,,,815.0,,,0,,802.2,,0.0,505400.5,0.0,,3,0.0
TQBR,2014-06-11,ЮжКузб. ао,UKUZ,0,0.0,,,,815.0,,,0,,802.2,,0.0,505400.5,0.0,,3,0.0
TQBR,2014-06-16,ЮжКузб. ао,UKUZ,12,79949.1,801.1,781.0,801.1,795.1,791.6,800.0,101,,801.7,,0.0,509858.4,0.0,,3,0.0
TQBR,2014-06-17,ЮжКузб. ао,UKUZ,49,435348.6,751.0,708.0,809.9,808.9,780.2,809.9,558,,781.5,,0.0,500912.1,0.0,,3,0.0123749999999999
TQBR,2014-06-18,ЮжКузб. ао,UKUZ,10,36308.2,800.8,799.1,810.9,806.9,806.8,810.3,45,,783.0,,0.0,502666.4,0.0,,3,0.0004938881343375
TQBR,2014-06-19,ЮжКузб. ао,UKUZ,9,18197.2,740.1,740.1,804.7,799.6,791.2,799.6,23,,783.1,,0.0,508254.0,0.0,,3,-0.0132049858077254
TQBR,2014-06-20,ЮжКузб. ао,UKUZ,0,0.0,,,,799.6,,,0,,783.1,,0.0,508254.0,0.0,,3,0.0
TQBR,2014-06-23,ЮжКузб. ао,UKUZ,6,7928.0,785.7,763.2,804.7,797.4,792.8,804.7,10,,783.3,,0.0,516182.0,0.0,,3,0.0
TQBR,2014-06-24,ЮжКузб. ао,UKUZ,21,33331.8,790.1,770.0,800.0,787.1,793.6,787.1,42,,783.6,,0.0,526607.8,0.0,,3,-0.0218715049086616
TQBR,2014-06-25,ЮжКузб. ао,UKUZ,13,39085.6,799.7,790.0,800.0,799.6,797.7,799.6,49,,788.9,,0.0,502528.0,0.0,,3,0.0158810824545801
TQBR,2014-06-26,ЮжКузб. ао,UKUZ,5,5534.2,770.0,770.0,798.9,795.7,790.6,798.9,7,,788.7,,0.0,500799.2,0.0,,3,-0.0008754377188594
TQBR,2014-06-27,ЮжКузб. ао,UKUZ,2,1526.1,754.4,754.4,771.7,771.7,763.1,771.7,2,,788.5,,0.0,500724.4,0.0,,3,-0.0340468143697583
TQBR,2014-06-30,ЮжКузб. ао,UKUZ,6,46413.8,793.0,793.0,814.9,814.8,814.3,814.9,57,,790.7,,0.0,540053.2,0.0,,3,0.0559803032266423
TQBR,2014-07-01,ЮжКузб. ао,UKUZ,0,0.0,,,,814.8,,,0,,790.7,,0.0,540053.2,0.0,,3,0.0
TQBR,2014-07-02,ЮжКузб. ао,UKUZ,2,2400.4,800.2,800.1,800.2,800.1,800.1,800.1,3,,790.7,,0.0,542453.6,0.0,,3,0.0
TQBR,2014-07-03,ЮжКузб. ао,UKUZ,9,29503.0,799.9,790.4,800.0,790.4,797.4,790.4,37,,791.1,,0.0,571956.6,0.0,,3,-0.0121234845644295
TQBR,2014-07-04,ЮжКузб. ао,UKUZ,2,1581.7,798.7,783.0,798.7,783.0,790.9,783.0,2,,791.1,,0.0,573538.3,0.0,,3,-0.0093623481781376
TQBR,2014-07-07,ЮжКузб. ао,UKUZ,14,73900.0,793.6,793.1,804.7,796.3,794.6,796.3,93,,795.2,,0.0,500207.3,0.0,,3,0.01698595146871
TQBR,2014-07-08,ЮжКузб. ао,UKUZ,0,0.0,,,,796.3,,,0,,795.2,,0.0,500207.3,0.0,,3,0.0
TQBR,2014-07-09,ЮжКузб. ао,UKUZ,4,8690.0,790.0,790.0,790.0,790.0,790.0,790.0,11,,795.2,,0.0,508897.3,0.0,,3,0.0
TQBR,2014-07-10,ЮжКузб. ао,UKUZ,0,0.0,,,,790.0,,,0,,795.2,,0.0,508897.3,0.0,,3,0.0
TQBR,2014-07-11,ЮжКузб. ао,UKUZ,0,0.0,,,,790.0,,,0,,795.2,,0.0,508897.3,0.0,,3,0.0
TQBR,2014-07-14,ЮжКузб. ао,UKUZ,0,0.0,,,,790.0,,,0,,795.2,,0.0,508897.3,0.0,,3,0.0
TQBR,2014-07-15,ЮжКузб. ао,UKUZ,7,11736.5,777.0,777.0,785.1,785.0,782.4,785.0,15,,794.9,,0.0,520633.8,0.0,,3,0.0
TQBR,2014-07-16,ЮжКузб. ао,UKUZ,8,26627.5,777.0,731.5,777.0,739.7,739.7,731.5,36,,792.0,,0.0,547261.3,0.0,,3,-0.0681528662420382
