BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2016-07-01,Юнипро ао,UPRO,1322,67898436,2.598,2.51,2.619,2.604,2.582,2.604,26293000,2.582,2.582,2.604,67898436,67898436,67898436.0,,3,0.0
TQBR,2016-07-04,Юнипро ао,UPRO,689,29922945,2.604,2.6,2.619,2.608,2.607,2.608,11478000,2.607,2.607,2.608,29922945,29922945,29922945.0,,3,0.0015360983102918
TQBR,2016-07-05,Юнипро ао,UPRO,3370,37685637,2.605,2.582,2.61,2.598,2.601,2.598,14489000,2.601,2.601,2.598,37685637,37685637,37685637.0,,3,-0.0038343558282209
TQBR,2016-07-06,Юнипро ао,UPRO,1191,66418134,2.596,2.596,2.66,2.65,2.629,2.65,25264000,2.629,2.629,2.65,66418134,66418134,66418134.0,,3,0.0200153964588144
TQBR,2016-07-07,Юнипро ао,UPRO,728,38070243,2.65,2.637,2.679,2.65,2.662,2.65,14296000,2.663,2.663,2.65,38070243,38070243,38070243.0,,3,0.0
TQBR,2016-07-08,Юнипро ао,UPRO,632,24025705,2.643,2.61,2.65,2.638,2.631,2.638,9133000,2.631,2.631,2.638,24025705,24025705,24025705.0,,3,-0.0045283018867924
TQBR,2016-07-11,Юнипро ао,UPRO,1098,51815931,2.641,2.629,2.655,2.653,2.649,2.65,19562000,2.649,2.649,2.653,51815931,51815931,51815931.0,,3,0.0045489006823351
TQBR,2016-07-12,Юнипро ао,UPRO,621,48520423,2.65,2.64,2.67,2.662,2.657,2.663,18258000,2.657,2.657,2.662,48520423,48520423,48520423.0,,3,0.0049056603773584
TQBR,2016-07-13,Юнипро ао,UPRO,2243,36262870,2.658,2.654,2.671,2.654,2.66,2.654,13632000,2.66,2.66,2.654,36262870,36262870,36262870.0,,3,-0.003379647014645
TQBR,2016-07-14,Юнипро ао,UPRO,692,43423696,2.655,2.639,2.673,2.666,2.659,2.666,16331000,2.659,2.659,2.666,43423696,43423696,43423696.0,,3,0.0045214770158251
TQBR,2016-07-15,Юнипро ао,UPRO,1425,78376945,2.673,2.665,2.743,2.723,2.705,2.723,28978000,2.705,2.705,2.723,78376945,78376945,78376945.0,,3,0.0213803450862715
TQBR,2016-07-18,Юнипро ао,UPRO,821,62703259,2.727,2.72,2.777,2.773,2.754,2.773,22772000,2.754,2.754,2.773,62703259,62703259,62703259.0,,3,0.0183621006243115
TQBR,2016-07-19,Юнипро ао,UPRO,1755,20892082,2.774,2.743,2.774,2.76,2.764,2.76,7558000,2.764,2.764,2.76,20892082,20892082,20892082.0,,3,-0.004688063469167
TQBR,2016-07-20,Юнипро ао,UPRO,1181,37599921,2.76,2.741,2.77,2.76,2.758,2.76,13634000,2.758,2.758,2.76,37599921,37599921,37599921.0,,3,0.0
TQBR,2016-07-21,Юнипро ао,UPRO,1088,38231025,2.76,2.76,2.805,2.803,2.783,2.803,13737000,2.783,2.783,2.803,38231025,38231025,38231025.0,,3,0.0155797101449275
TQBR,2016-07-22,Юнипро ао,UPRO,1847,97287414,2.801,2.703,2.925,2.812,2.808,2.812,34681000,2.805,2.805,2.812,97287414,97287414,97287414.0,,3,0.0032108455226542
TQBR,2016-07-25,Юнипро ао,UPRO,687,51784261,2.812,2.784,2.87,2.851,2.847,2.851,18187000,2.847,2.847,2.851,51784261,51784261,51784261.0,,3,0.0138691322901849
TQBR,2016-07-26,Юнипро ао,UPRO,840,26853530,2.89,2.83,2.89,2.847,2.854,2.847,9408000,2.854,2.854,2.847,26853530,26853530,26853530.0,,3,-0.0014030164854437
TQBR,2016-07-27,Юнипро ао,UPRO,419,17663019,2.854,2.816,2.859,2.858,2.841,2.858,6217000,2.841,2.841,2.858,17663019,17663019,17663019.0,,3,0.0038637161924833
TQBR,2016-07-28,Юнипро ао,UPRO,1070,45883877,2.86,2.86,2.958,2.95,2.931,2.95,15655000,2.931,2.931,2.95,45883877,45883877,45883877.0,,3,0.0321903428971308
TQBR,2016-07-29,Юнипро ао,UPRO,2035,86438331,2.94,2.939,3.01,3.0,2.985,3.0,28880000,2.993,2.993,3.0,86438331,86438331,86438331.0,,3,0.0169491525423728
TQBR,2016-08-01,Юнипро ао,UPRO,1311,55672503,2.995,2.922,3.01,2.941,2.974,2.941,18729000,2.973,2.973,2.941,55672503,55672503,55672503.0,,3,-0.0196666666666667
TQBR,2016-08-02,Юнипро ао,UPRO,777,23168940,2.985,2.84,2.985,2.845,2.865,2.845,8087000,2.865,2.865,2.845,23168940,23168940,23168940.0,,3,-0.0326419585175109
TQBR,2016-08-03,Юнипро ао,UPRO,1847,50426355,2.855,2.757,2.871,2.848,2.807,2.848,17973000,2.806,2.806,2.848,50426355,50426355,50426355.0,,3,0.0010544815465728
TQBR,2016-08-04,Юнипро ао,UPRO,3300,59192001,2.839,2.839,2.937,2.874,2.9,2.874,20409000,2.9,2.9,2.874,59192001,59192001,59192001.0,,3,0.0091292134831461
TQBR,2016-08-05,Юнипро ао,UPRO,408,11813033,2.86,2.86,2.9,2.88,2.88,2.88,4105000,2.878,2.878,2.88,11813033,11813033,11813033.0,,3,0.0020876826722337
TQBR,2016-08-08,Юнипро ао,UPRO,535,42063619,2.873,2.872,2.96,2.923,2.908,2.923,14457000,2.91,2.91,2.923,42063619,42063619,42063619.0,,3,0.0149305555555556
TQBR,2016-08-09,Юнипро ао,UPRO,780,29316531,2.934,2.904,2.957,2.954,2.937,2.954,9984000,2.936,2.936,2.954,29316531,29316531,29316531.0,,3,0.0106055422511119
TQBR,2016-08-10,Юнипро ао,UPRO,1837,101605682,2.935,2.904,3.015,2.923,2.977,2.923,34146000,2.976,2.976,2.923,101605682,101605682,101605682.0,,3,-0.0104942450914015
TQBR,2016-08-11,Юнипро ао,UPRO,704,74291064,2.93,2.913,2.966,2.92,2.931,2.92,25349000,2.931,2.931,2.92,74291064,74291064,74291064.0,,3,-0.0010263427984947
