BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,УрКузница,URKZ,0,0,,,,5700,,,0,,6321,,0,651042,0.0,,3,0.0
TQBR,2014-06-10,УрКузница,URKZ,6,495990,6193.0,6100.0,6250.0,6200,6200.0,6100.0,80,6092.0,6092,6092.0,590890,590890,590890.0,,3,0.0
TQBR,2014-06-11,УрКузница,URKZ,0,0,,,,6200,,,0,6092.0,6092,6092.0,590890,590890,590890.0,,3,0.0
TQBR,2014-06-16,УрКузница,URKZ,0,0,,,,6200,,,0,,6092,,0,590890,0.0,,3,0.0
TQBR,2014-06-17,УрКузница,URKZ,0,0,,,,6200,,,0,,6092,,0,590890,0.0,,3,0.0
TQBR,2014-06-18,УрКузница,URKZ,0,0,,,,6200,,,0,,6092,,0,590890,0.0,,3,0.0
TQBR,2014-06-19,УрКузница,URKZ,0,0,,,,6200,,,0,,6092,,0,590890,0.0,,3,0.0
TQBR,2014-06-20,УрКузница,URKZ,2,36001,6001.0,6000.0,6001.0,6000,6000.0,6000.0,6,,6104,,0,610391,0.0,,3,0.0
TQBR,2014-06-23,УрКузница,URKZ,0,0,,,,6000,,,0,,6104,,0,610391,0.0,,3,0.0
TQBR,2014-06-24,УрКузница,URKZ,0,0,,,,6000,,,0,,6104,,0,610391,0.0,,3,0.0
TQBR,2014-06-25,УрКузница,URKZ,0,0,,,,6000,,,0,,6104,,0,610391,0.0,,3,0.0
TQBR,2014-06-26,УрКузница,URKZ,0,0,,,,6000,,,0,,6104,,0,610391,0.0,,3,0.0
TQBR,2014-06-27,УрКузница,URKZ,0,0,,,,6000,,,0,,6104,,0,610391,0.0,,3,0.0
TQBR,2014-06-30,УрКузница,URKZ,0,0,,,,6000,,,0,,6104,,0,610391,0.0,,3,0.0
TQBR,2014-07-01,УрКузница,URKZ,3,89700,5700.0,5700.0,6000.0,6000,5980.0,6000.0,15,,6155,,0,615498,0.0,,3,0.0
TQBR,2014-07-02,УрКузница,URKZ,0,0,,,,6000,,,0,,6155,,0,615498,0.0,,3,0.0
TQBR,2014-07-03,УрКузница,URKZ,1,96000,6000.0,6000.0,6000.0,6000,6000.0,6000.0,16,,6133,,0,705300,0.0,,3,0.0
TQBR,2014-07-04,УрКузница,URKZ,9,323399,5350.0,5350.0,6000.0,6000,5775.0,6000.0,56,,5853,,0,503399,0.0,,3,0.0
TQBR,2014-07-07,УрКузница,URKZ,0,0,,,,6000,,,0,,5853,,0,503399,0.0,,3,0.0
TQBR,2014-07-08,УрКузница,URKZ,0,0,,,,6000,,,0,,5853,,0,503399,0.0,,3,0.0
TQBR,2014-07-09,УрКузница,URKZ,0,0,,,,6000,,,0,,5853,,0,503399,0.0,,3,0.0
TQBR,2014-07-10,УрКузница,URKZ,0,0,,,,6000,,,0,5852.0,5853,5852.0,509099,503399,509099.0,,3,0.0
TQBR,2014-07-11,УрКузница,URKZ,0,0,,,,6000,,,0,5852.0,5853,5852.0,509099,503399,509099.0,,3,0.0
TQBR,2014-07-14,УрКузница,URKZ,3,126947,6299.0,6299.0,6350.0,6347,6347.0,6350.0,20,5944.0,5939,5944.0,636046,546346,636046.0,,3,0.0
TQBR,2014-07-15,УрКузница,URKZ,0,0,,,,6347,,,0,5939.0,5939,5939.0,546346,546346,546346.0,,3,0.0
TQBR,2014-07-16,УрКузница,URKZ,0,0,,,,6347,,,0,5939.0,5939,5939.0,546346,546346,546346.0,,3,0.0
TQBR,2014-07-17,УрКузница,URKZ,0,0,,,,6347,,,0,,5939,,0,546346,0.0,,3,0.0
TQBR,2014-07-18,УрКузница,URKZ,1,55592,6949.0,6949.0,6949.0,6949,6949.0,6949.0,8,,6031,,0,500588,0.0,,3,0.0
TQBR,2014-07-21,УрКузница,URKZ,0,0,,,,6949,,,0,,6031,,0,500588,0.0,,3,0.0
TQBR,2014-07-22,УрКузница,URKZ,0,0,,,,6949,,,0,,6031,,0,500588,0.0,,3,0.0
TQBR,2014-07-23,УрКузница,URKZ,3,95000,6300.0,6300.0,6350.0,6350,6333.0,6350.0,15,,6230,,0,504638,0.0,,3,0.0
TQBR,2014-07-24,УрКузница,URKZ,0,0,,,,6350,,,0,,6230,,0,504638,0.0,,3,0.0
TQBR,2014-07-25,УрКузница,URKZ,0,0,,,,6350,,,0,,6230,,0,504638,0.0,,3,0.0
TQBR,2014-07-28,УрКузница,URKZ,0,0,,,,6350,,,0,,6230,,0,504638,0.0,,3,0.0
TQBR,2014-07-29,УрКузница,URKZ,0,0,,,,6350,,,0,,6230,,0,504638,0.0,,3,0.0
TQBR,2014-07-30,УрКузница,URKZ,0,0,,,,6350,,,0,,6230,,0,504638,0.0,,3,0.0
TQBR,2014-07-31,УрКузница,URKZ,0,0,,,,6350,,,0,,6230,,0,504638,0.0,,3,0.0
TQBR,2014-08-01,УрКузница,URKZ,0,0,,,,6350,,,0,,6230,,0,504638,0.0,,3,0.0
TQBR,2014-08-04,УрКузница,URKZ,2,241000,6100.0,6000.0,6100.0,6025,6025.0,6000.0,40,,6221,,0,578539,0.0,,3,0.0
TQBR,2014-08-05,УрКузница,URKZ,0,0,,,,6025,,,0,,6221,,0,578539,0.0,,3,0.0
TQBR,2014-08-06,УрКузница,URKZ,0,0,,,,6025,,,0,,6221,,0,578539,0.0,,3,0.0
TQBR,2014-08-07,УрКузница,URKZ,0,0,,,,6025,,,0,,6221,,0,578539,0.0,,3,0.0
TQBR,2014-08-08,УрКузница,URKZ,1,189000,6300.0,6300.0,6300.0,6300,6300.0,6300.0,30,,6261,,0,707539,0.0,,3,0.0
TQBR,2014-08-11,УрКузница,URKZ,0,0,,,,6300,,,0,,6261,,0,707539,0.0,,3,0.0
TQBR,2014-08-12,УрКузница,URKZ,1,6300,6300.0,6300.0,6300.0,6300,6300.0,6300.0,1,,6261,,0,707540,0.0,,3,0.0
TQBR,2014-08-13,УрКузница,URKZ,0,0,,,,6300,,,0,,6261,,0,707540,0.0,,3,0.0
TQBR,2014-08-14,УрКузница,URKZ,0,0,,,,6300,,,0,,6261,,0,707540,0.0,,3,0.0
TQBR,2014-08-15,УрКузница,URKZ,0,0,,,,6300,,,0,,6261,,0,707540,0.0,,3,0.0
TQBR,2014-08-18,УрКузница,URKZ,0,0,,,,6300,,,0,,6261,,0,707540,0.0,,3,0.0
TQBR,2014-08-19,УрКузница,URKZ,1,60000,6000.0,6000.0,6000.0,6000,6000.0,6000.0,10,,6239,,0,761192,0.0,,3,0.0
TQBR,2014-08-20,УрКузница,URKZ,0,0,,,,6000,,,0,,6239,,0,761192,0.0,,3,0.0
TQBR,2014-08-21,УрКузница,URKZ,0,0,,,,6000,,,0,,6239,,0,761192,0.0,,3,0.0
TQBR,2014-08-22,УрКузница,URKZ,0,0,,,,6000,,,0,,6239,,0,761192,0.0,,3,0.0
TQBR,2014-08-25,УрКузница,URKZ,0,0,,,,6000,,,0,,6239,,0,761192,0.0,,3,0.0
TQBR,2014-08-26,УрКузница,URKZ,2,331790,6299.0,6299.0,6400.0,6400,6381.0,6400.0,52,,6237,,0,923090,0.0,,3,0.0
TQBR,2014-08-27,УрКузница,URKZ,0,0,,,,6400,,,0,,6237,,0,923090,0.0,,3,0.0
TQBR,2014-08-28,УрКузница,URKZ,4,136401,6201.0,6200.0,6201.0,6200,6200.0,6200.0,22,,6231,,0,903491,0.0,,3,0.0
TQBR,2014-08-29,УрКузница,URKZ,0,0,,,,6200,,,0,,6231,,0,903491,0.0,,3,0.0
TQBR,2014-09-01,УрКузница,URKZ,0,0,,,,6200,,,0,,6231,,0,903491,0.0,,3,0.0
TQBR,2014-09-02,УрКузница,URKZ,0,0,,,,6200,,,0,,6231,,0,903491,0.0,,3,0.0
TQBR,2014-09-03,УрКузница,URKZ,0,0,,,,6200,,,0,,6231,,0,903491,0.0,,3,0.0
TQBR,2014-09-04,УрКузница,URKZ,0,0,,,,6200,,,0,,6231,,0,903491,0.0,,3,0.0
TQBR,2014-09-05,УрКузница,URKZ,1,6499,6499.0,6499.0,6499.0,6499,6499.0,6499.0,1,,6293,,0,729990,0.0,,3,0.0
TQBR,2014-09-08,УрКузница,URKZ,1,13110,6555.0,6555.0,6555.0,6555,6555.0,6555.0,2,,6297,,0,554100,0.0,,3,0.0086167102631174
TQBR,2014-09-09,УрКузница,URKZ,4,68399,6200.0,6200.0,6300.0,6200,6218.0,6200.0,11,,6320,,0,556199,0.0,,3,-0.0541571319603356
TQBR,2014-09-10,УрКузница,URKZ,3,86802,6201.0,6200.0,6201.0,6200,6200.0,6200.0,14,,6304,,0,580011,0.0,,3,0.0
TQBR,2014-09-11,УрКузница,URKZ,6,282671,6350.0,6350.0,6590.0,6400,6424.0,6400.0,44,,6335,,0,519481,0.0,,3,0.032258064516129
TQBR,2014-09-12,УрКузница,URKZ,5,105511,6550.0,6550.0,6700.0,6597,6594.0,6700.0,16,,6407,,0,506183,0.0,,3,0.046875
TQBR,2014-09-15,УрКузница,URKZ,3,20385,6790.0,6790.0,6800.0,6798,6795.0,6800.0,3,,6425,,0,513969,0.0,,3,0.0149253731343283
TQBR,2014-09-16,УрКузница,URKZ,7,314739,6800.0,6800.0,6904.0,6840,6842.0,6880.0,46,,6690,,0,568635,0.0,,3,0.0117647058823529
TQBR,2014-09-17,УрКузница,URKZ,12,231569,6700.0,6700.0,6960.0,6801,6811.0,6801.0,34,,6829,,0,546308,0.0,,3,-0.0114825581395348
TQBR,2014-09-18,УрКузница,URKZ,7,105062,7000.0,7000.0,7062.0,7016,7004.0,7062.0,15,,6857,,0,507431,0.0,,3,0.0383767093074547
TQBR,2014-09-19,УрКузница,URKZ,0,0,,,,7016,,,0,,6857,,0,507431,0.0,,3,0.0
TQBR,2014-09-22,УрКузница,URKZ,7,354518,6700.0,6303.0,6800.0,6303,6689.0,6303.0,53,,6772,,0,501141,0.0,,3,0.0
TQBR,2014-09-23,УрКузница,URKZ,0,0,,,,6303,,,0,6776.0,6772,6776.0,691149,501141,691149.0,,3,0.0
TQBR,2014-09-24,УрКузница,URKZ,1,62700,6270.0,6270.0,6270.0,6270,6270.0,6270.0,10,6696.0,6696,6696.0,522280,522280,522280.0,,3,0.0
TQBR,2014-09-25,УрКузница,URKZ,5,243597,6799.0,6350.0,6799.0,6350,6410.0,6350.0,38,6543.0,6492,6543.0,660815,525815,660815.0,,3,0.0127591706539074
TQBR,2014-09-26,УрКузница,URKZ,5,162550,6250.0,6200.0,6350.0,6304,6252.0,6300.0,26,,6333,,0,506665,0.0,,3,-0.0078740157480314
TQBR,2014-09-29,УрКузница,URKZ,7,169379,6982.0,6200.0,6982.0,6300,6273.0,6300.0,27,,6302,,0,535629,0.0,,3,0.0
TQBR,2014-09-30,УрКузница,URKZ,1,12410,6205.0,6205.0,6205.0,6205,6205.0,6205.0,2,,6299,,0,548039,0.0,,3,-0.015079365079365
TQBR,2014-10-01,УрКузница,URKZ,0,0,,,,6210,,,0,6320.0,6300,6320.0,587936,548039,587936.0,,3,0.0
TQBR,2014-10-02,УрКузница,URKZ,3,162400,6200.0,6200.0,6300.0,6300,6250.0,6300.0,26,6260.0,6260,6260.0,506739,500489,506739.0,,3,0.0
TQBR,2014-10-03,УрКузница,URKZ,0,0,,,,6300,,,0,,6260,,0,500489,0.0,,3,0.0
TQBR,2014-10-06,УрКузница,URKZ,0,0,,,,6300,,,0,6300.0,6260,6300.0,813036,500489,813036.0,,3,0.0
TQBR,2014-10-07,УрКузница,URKZ,2,12900,6400.0,6400.0,6500.0,6450,6450.0,6500.0,2,6300.0,6260,6300.0,825936,507139,825936.0,,3,0.0
TQBR,2014-10-08,УрКузница,URKZ,0,0,,,,6450,,,0,6310.0,6260,6310.0,763236,507139,763236.0,,3,0.0
TQBR,2014-10-09,УрКузница,URKZ,3,132200,6100.0,6000.0,6100.0,6000,6010.0,6000.0,22,6210.0,6210,6210.0,651839,558589,651839.0,,3,0.0
TQBR,2014-10-10,УрКузница,URKZ,3,72160,6130.0,6000.0,6130.0,6010,6010.0,6000.0,12,6170.0,6160,6170.0,561449,529570,561449.0,,3,0.0
TQBR,2014-10-13,УрКузница,URKZ,0,0,,,,6010,,,0,,6160,,0,529570,0.0,,3,0.0
TQBR,2014-10-14,УрКузница,URKZ,0,0,,,,6010,,,0,,6160,,0,529570,0.0,,3,0.0
TQBR,2014-10-15,УрКузница,URKZ,1,59000,5900.0,5900.0,5900.0,5900,5900.0,5900.0,10,,6120,,0,514070,0.0,,3,0.0
TQBR,2014-10-16,УрКузница,URKZ,0,0,,,,5900,,,0,,6120,,0,514070,0.0,,3,0.0
TQBR,2014-10-17,УрКузница,URKZ,2,70600,5850.0,5850.0,5900.0,5880,5880.0,5900.0,12,,6060,,0,509260,0.0,,3,0.0
TQBR,2014-10-20,УрКузница,URKZ,0,0,,,,5880,,,0,,6060,,0,509260,0.0,,3,0.0
