BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2013-09-02,ЮТэйр ао,UTAR,1,2240.0,22.4,22.4,22.4,22.4,22.4,22.4,100,22.359,22.733,22.359,3535031.7,1977798.3,3535031.7,,3,0.0
TQBR,2013-09-03,ЮТэйр ао,UTAR,1,2240.0,22.4,22.4,22.4,22.4,22.4,22.4,100,22.359,22.783,22.359,3537271.7,1893238.3,3537271.7,,3,0.0
TQBR,2013-09-04,ЮТэйр ао,UTAR,5,11273.1,23.0,22.35,23.0,22.351,22.546,22.351,500,22.36,22.797,22.36,3595491.5,1796433.1,3595491.5,,3,-0.0021874999999999
TQBR,2013-09-05,ЮТэйр ао,UTAR,1,2272.9,22.729,22.729,22.729,22.729,22.729,22.729,100,22.36,22.797,22.36,3550817.7,1477226.0,3550817.7,,3,0.0169119949890385
TQBR,2013-09-06,ЮТэйр ао,UTAR,3,44929.9,22.3,22.3,22.63,22.63,22.465,22.63,2000,,22.783,,0.0,1202955.9,0.0,,3,-0.0043556689691583
TQBR,2013-09-09,ЮТэйр ао,UTAR,1,2292.8,22.928,22.928,22.928,22.928,22.928,22.928,100,,22.784,,0.0,1205248.7,0.0,,3,0.0131683605832965
TQBR,2013-09-10,ЮТэйр ао,UTAR,1,6690.0,22.3,22.3,22.3,22.3,22.3,22.3,300,,22.781,,0.0,1211938.7,0.0,,3,-0.0273900907187718
TQBR,2013-09-11,ЮТэйр ао,UTAR,1,4500.0,22.5,22.5,22.5,22.5,22.5,22.5,200,22.362,22.78,22.362,3656177.1,1216438.7,3656177.1,,3,0.0089686098654708
TQBR,2013-09-12,ЮТэйр ао,UTAR,1,9000.0,22.5,22.5,22.5,22.5,22.5,22.5,400,22.362,22.778,22.362,3618230.4,1225438.7,3618230.4,,3,0.0
TQBR,2013-09-13,ЮТэйр ао,UTAR,0,0.0,,,,22.5,,,0,,22.778,,0.0,1225438.7,0.0,,3,0.0
TQBR,2013-09-16,ЮТэйр ао,UTAR,4,476700.0,22.7,22.7,22.7,22.7,22.7,22.7,21000,22.668,22.688,22.668,559898.7,521812.7,559898.7,,3,0.0
TQBR,2013-09-17,ЮТэйр ао,UTAR,0,0.0,,,,22.7,,,0,22.669,22.688,22.669,557658.7,521812.7,557658.7,,3,0.0
TQBR,2013-09-18,ЮТэйр ао,UTAR,7,600530.3,22.301,22.2,22.301,22.2,22.242,22.2,27000,22.442,22.374,22.442,1077230.3,850230.3,1077230.3,,3,0.0
TQBR,2013-09-19,ЮТэйр ао,UTAR,3,24769.7,22.696,22.5,22.696,22.5,22.518,22.5,1100,22.253,22.253,22.253,625300.0,625300.0,625300.0,,3,0.0135135135135135
TQBR,2013-09-20,ЮТэйр ао,UTAR,5,33749.2,22.499,22.499,22.5,22.499,22.499,22.5,1500,22.265,22.265,22.265,659049.2,652358.9,659049.2,,3,0.0
TQBR,2013-09-23,ЮТэйр ао,UTAR,14,982165.6,22.55,22.499,22.551,22.5,22.527,22.5,43600,22.527,22.527,22.527,982165.6,982165.6,982165.6,,3,0.0
TQBR,2013-09-24,ЮТэйр ао,UTAR,0,0.0,,,,22.5,,,0,22.527,22.519,22.527,982165.6,718366.3,982165.6,,3,0.0
TQBR,2013-09-25,ЮТэйр ао,UTAR,9,274497.9,22.499,22.499,22.5,22.5,22.5,22.5,12200,22.521,22.5,22.521,1256663.5,708747.9,1256663.5,,3,0.0
