BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ВолгЭнСб,VGSB,2,766.3,0.378,0.378,0.3883,0.3832,0.3832,0.3883,2000,,,,0,0,0.0,,3,0.0
TQBR,2014-06-10,ВолгЭнСб,VGSB,0,0.0,,,,0.3832,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-11,ВолгЭнСб,VGSB,2,1318.5,0.4395,0.4395,0.4395,0.4395,0.4395,0.4395,3000,,,,0,0,0.0,,3,0.0
TQBR,2014-06-16,ВолгЭнСб,VGSB,2,12400.1,0.4001,0.4,0.4001,0.4,0.4,0.4,31000,,,,0,0,0.0,,3,-0.0898748577929464
TQBR,2014-06-17,ВолгЭнСб,VGSB,0,0.0,,,,0.4,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-18,ВолгЭнСб,VGSB,0,0.0,,,,0.4,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-19,ВолгЭнСб,VGSB,0,0.0,,,,0.4,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-20,ВолгЭнСб,VGSB,0,0.0,,,,0.4,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-23,ВолгЭнСб,VGSB,1,430.9,0.4309,0.4309,0.4309,0.4309,0.4309,0.4309,1000,,,,0,0,0.0,,3,0.0
TQBR,2014-06-24,ВолгЭнСб,VGSB,0,0.0,,,,0.4309,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-25,ВолгЭнСб,VGSB,0,0.0,,,,0.4309,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-26,ВолгЭнСб,VGSB,0,0.0,,,,0.4309,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-27,ВолгЭнСб,VGSB,15,57174.6,0.4291,0.4291,0.45,0.45,0.4364,0.45,131000,,,,0,0,0.0,,3,0.0
TQBR,2014-06-30,ВолгЭнСб,VGSB,2,2250.0,0.45,0.45,0.45,0.45,0.45,0.45,5000,,,,0,0,0.0,,3,0.0
TQBR,2014-07-01,ВолгЭнСб,VGSB,10,18722.1,0.45,0.45,0.5001,0.5,0.4801,0.5,39000,,,,0,0,0.0,,3,0.111111111111111
TQBR,2014-07-02,ВолгЭнСб,VGSB,6,6981.1,0.4499,0.4499,0.542,0.5352,0.4987,0.542,14000,,,,0,0,0.0,,3,0.084
TQBR,2014-07-03,ВолгЭнСб,VGSB,2,3250.8,0.5418,0.5418,0.5418,0.5418,0.5418,0.5418,6000,,,,0,0,0.0,,3,-0.000369003690037
TQBR,2014-07-04,ВолгЭнСб,VGSB,1,1625.1,0.5417,0.5417,0.5417,0.5417,0.5417,0.5417,3000,,,,0,0,0.0,,3,-0.0001845699520117
TQBR,2014-07-07,ВолгЭнСб,VGSB,0,0.0,,,,0.5417,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-08,ВолгЭнСб,VGSB,0,0.0,,,,0.5417,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-09,ВолгЭнСб,VGSB,0,0.0,,,,0.5417,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-10,ВолгЭнСб,VGSB,0,0.0,,,,0.5417,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-11,ВолгЭнСб,VGSB,0,0.0,,,,0.5417,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-14,ВолгЭнСб,VGSB,0,0.0,,,,0.5417,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-15,ВолгЭнСб,VGSB,0,0.0,,,,0.5417,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-16,ВолгЭнСб,VGSB,0,0.0,,,,0.5417,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-17,ВолгЭнСб,VGSB,0,0.0,,,,0.5417,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-18,ВолгЭнСб,VGSB,0,0.0,,,,0.5417,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-21,ВолгЭнСб,VGSB,0,0.0,,,,0.5417,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-22,ВолгЭнСб,VGSB,0,0.0,,,,0.5417,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-23,ВолгЭнСб,VGSB,0,0.0,,,,0.5417,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-24,ВолгЭнСб,VGSB,6,3682.1,0.417,0.403,0.417,0.4091,0.4091,0.403,9000,,,,0,0,0.0,,3,0.0
TQBR,2014-07-25,ВолгЭнСб,VGSB,0,0.0,,,,0.4091,,,0,,,,0,0,0.0,,3,0.0
