BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Варьеган-п,VJGZP,0,0.0,,,,358.95,,,0,433.42,438.78,433.42,897181.9,566031.9,897181.9,,3,0.0
TQBR,2014-06-10,Варьеган-п,VJGZP,0,0.0,,,,358.95,,,0,433.42,438.78,433.42,897181.9,566031.9,897181.9,,3,0.0
TQBR,2014-06-11,Варьеган-п,VJGZP,0,0.0,,,,358.95,,,0,434.14,438.78,434.14,742381.9,566031.9,742381.9,,3,0.0
TQBR,2014-06-16,Варьеган-п,VJGZP,0,0.0,,,,358.95,,,0,434.14,438.78,434.14,742381.9,566031.9,742381.9,,3,0.0
TQBR,2014-06-17,Варьеган-п,VJGZP,0,0.0,,,,358.95,,,0,434.4,438.78,434.4,738481.9,566031.9,738481.9,,3,0.0
TQBR,2014-06-18,Варьеган-п,VJGZP,0,0.0,,,,358.95,,,0,,438.78,,0.0,566031.9,0.0,,3,0.0
TQBR,2014-06-19,Варьеган-п,VJGZP,0,0.0,,,,358.95,,,0,,438.78,,0.0,566031.9,0.0,,3,0.0
TQBR,2014-06-20,Варьеган-п,VJGZP,2,116550.0,555.0,555.0,555.0,555.0,555.0,555.0,210,,456.65,,0.0,520581.9,0.0,,3,0.0
TQBR,2014-06-23,Варьеган-п,VJGZP,0,0.0,,,,555.0,,,0,,456.65,,0.0,520581.9,0.0,,3,0.0
TQBR,2014-06-24,Варьеган-п,VJGZP,0,0.0,,,,555.0,,,0,,456.65,,0.0,520581.9,0.0,,3,0.0
TQBR,2014-06-25,Варьеган-п,VJGZP,0,0.0,,,,555.0,,,0,,456.65,,0.0,520581.9,0.0,,3,0.0
