BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Варьеган,VJGZ,0,0,,,,700.0,,,0,784.2,784.3,784.2,831280,823500,831280.0,,3,0.0
TQBR,2014-06-10,Варьеган,VJGZ,0,0,,,,700.0,,,0,,784.3,,0,823500,0.0,,3,0.0
TQBR,2014-06-11,Варьеган,VJGZ,0,0,,,,700.0,,,0,,784.3,,0,823500,0.0,,3,0.0
TQBR,2014-06-16,Варьеган,VJGZ,0,0,,,,700.0,,,0,,784.3,,0,823500,0.0,,3,0.0
TQBR,2014-06-17,Варьеган,VJGZ,6,175999,799.9,799.9,800.0,800.0,800.0,800.0,220,,793.1,,0,515499,0.0,,3,0.0
TQBR,2014-06-18,Варьеган,VJGZ,0,0,,,,800.0,,,0,,793.1,,0,515499,0.0,,3,0.0
TQBR,2014-06-19,Варьеган,VJGZ,0,0,,,,800.0,,,0,,793.1,,0,515499,0.0,,3,0.0
TQBR,2014-06-20,Варьеган,VJGZ,0,0,,,,800.0,,,0,,793.1,,0,515499,0.0,,3,0.0
TQBR,2014-06-23,Варьеган,VJGZ,0,0,,,,800.0,,,0,,793.1,,0,515499,0.0,,3,0.0
TQBR,2014-06-24,Варьеган,VJGZ,0,0,,,,800.0,,,0,,793.1,,0,515499,0.0,,3,0.0
TQBR,2014-06-25,Варьеган,VJGZ,0,0,,,,800.0,,,0,,793.1,,0,515499,0.0,,3,0.0
TQBR,2014-06-26,Варьеган,VJGZ,4,158000,775.0,775.0,800.0,800.0,790.0,800.0,200,,792.4,,0,673499,0.0,,3,0.0
TQBR,2014-06-27,Варьеган,VJGZ,0,0,,,,800.0,,,0,,792.4,,0,673499,0.0,,3,0.0
TQBR,2014-06-30,Варьеган,VJGZ,3,241500,800.0,800.0,810.0,810.0,805.0,810.0,300,799.3,799.2,799.3,575499,519500,575499.0,,3,0.0
TQBR,2014-07-01,Варьеган,VJGZ,0,0,,,,810.0,,,0,,799.2,,0,519500,0.0,,3,0.0
