BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2021-12-14,VK-гдр,VKCO,37009,1565151030.8,914.4,842.8,950.0,892.6,877.2,897.4,1784849,881.4,881.4,892.6,1003169692.4,1003169692.4,1003169692.4,0,3,0.0
TQBR,2021-12-15,VK-гдр,VKCO,49945,2107221289.8,900.0,883.6,973.8,937.0,943.2,961.0,2234113,947.2,947.2,937.0,1540376943.6,1540376943.6,1540376943.6,0,3,0.0708714062848228
TQBR,2021-12-16,VK-гдр,VKCO,71756,2416470817.4,966.0,951.4,1019.0,980.0,987.8,982.8,2446405,986.2,986.2,980.0,1783102071.0,1783102071.0,1783102071.0,0,3,0.0226847034339229
TQBR,2021-12-17,VK-гдр,VKCO,28390,1057159726.2,983.0,940.0,1002.2,949.8,952.6,962.0,1109841,949.8,949.8,949.8,840393967.6,840393967.6,840393967.6,0,3,-0.0211640211640211
TQBR,2021-12-20,VK-гдр,VKCO,32175,1037947894.8,957.2,891.0,957.8,919.0,917.0,912.0,1132410,914.8,914.8,919.0,888445823.8,888445823.8,888445823.8,0,3,-0.0519750519750519
TQBR,2021-12-21,VK-гдр,VKCO,22664,710278531.8,915.0,915.0,948.0,924.6,926.6,924.6,766547,927.0,927.0,924.6,463766028.8,463766028.8,463766028.8,0,3,0.0138157894736842
TQBR,2021-12-22,VK-гдр,VKCO,23516,836681988.4,924.6,895.0,929.6,915.0,911.8,912.2,917662,911.2,911.2,915.0,704228873.2,704228873.2,704228873.2,0,3,-0.0134112048453385
TQBR,2021-12-23,VK-гдр,VKCO,36992,1416978117.6,912.2,872.6,918.0,879.4,890.0,880.2,1592365,891.4,891.4,879.4,1157900139.6,1157900139.6,1157900139.6,0,3,-0.0350800263100197
TQBR,2021-12-24,VK-гдр,VKCO,35581,1474501677.0,878.4,850.0,884.2,880.0,865.4,877.0,1703966,863.6,863.6,880.0,1201996539.2,1201996539.2,1201996539.2,0,3,-0.0036355373778687
TQBR,2021-12-27,VK-гдр,VKCO,24912,1011151700.2,878.0,877.0,899.0,888.0,890.0,884.8,1136117,891.2,891.2,888.0,802508929.2,802508929.2,802508929.2,0,3,0.0088939566704674
