BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ТНСэнВорон,VRSB,0,0,,,,17.44,,,0,,13.273,,0,504375,0.0,,3,0.0
TQBR,2014-06-10,ТНСэнВорон,VRSB,0,0,,,,17.44,,,0,,13.273,,0,504375,0.0,,3,0.0
TQBR,2014-06-11,ТНСэнВорон,VRSB,0,0,,,,17.44,,,0,,13.273,,0,504375,0.0,,3,0.0
TQBR,2014-06-16,ТНСэнВорон,VRSB,0,0,,,,17.44,,,0,,13.273,,0,504375,0.0,,3,0.0
TQBR,2014-06-17,ТНСэнВорон,VRSB,0,0,,,,17.44,,,0,,13.273,,0,504375,0.0,,3,0.0
TQBR,2014-06-18,ТНСэнВорон,VRSB,1,18000,18.0,18.0,18.0,18.0,18.0,18.0,1000,,13.428,,0,510273,0.0,,3,0.0
TQBR,2014-06-19,ТНСэнВорон,VRSB,0,0,,,,18.0,,,0,,13.428,,0,510273,0.0,,3,0.0
TQBR,2014-06-20,ТНСэнВорон,VRSB,0,0,,,,18.0,,,0,,13.428,,0,510273,0.0,,3,0.0
TQBR,2014-06-23,ТНСэнВорон,VRSB,0,0,,,,18.0,,,0,,13.428,,0,510273,0.0,,3,0.0
TQBR,2014-06-24,ТНСэнВорон,VRSB,0,0,,,,18.0,,,0,,13.428,,0,510273,0.0,,3,0.0
TQBR,2014-06-25,ТНСэнВорон,VRSB,0,0,,,,18.0,,,0,,13.428,,0,510273,0.0,,3,0.0
TQBR,2014-06-26,ТНСэнВорон,VRSB,5,1542688,19.898,19.898,25.144,23.6,23.734,23.6,65000,,23.015,,0,1657068,0.0,,3,0.0
TQBR,2014-06-27,ТНСэнВорон,VRSB,0,0,,,,23.6,,,0,,23.015,,0,1657068,0.0,,3,0.0
TQBR,2014-06-30,ТНСэнВорон,VRSB,0,0,,,,23.6,,,0,,23.015,,0,1657068,0.0,,3,0.0
TQBR,2014-07-01,ТНСэнВорон,VRSB,0,0,,,,23.6,,,0,,23.015,,0,1657068,0.0,,3,0.0
TQBR,2014-07-02,ТНСэнВорон,VRSB,0,0,,,,23.6,,,0,,23.015,,0,1657068,0.0,,3,0.0
TQBR,2014-07-03,ТНСэнВорон,VRSB,0,0,,,,23.6,,,0,,23.015,,0,1657068,0.0,,3,0.0
TQBR,2014-07-04,ТНСэнВорон,VRSB,0,0,,,,23.6,,,0,,23.015,,0,1657068,0.0,,3,0.0
TQBR,2014-07-07,ТНСэнВорон,VRSB,0,0,,,,23.6,,,0,,23.015,,0,1657068,0.0,,3,0.0
TQBR,2014-07-08,ТНСэнВорон,VRSB,0,0,,,,23.6,,,0,,23.015,,0,1657068,0.0,,3,0.0
TQBR,2014-07-09,ТНСэнВорон,VRSB,0,0,,,,23.6,,,0,,23.015,,0,1657068,0.0,,3,0.0
TQBR,2014-07-10,ТНСэнВорон,VRSB,0,0,,,,23.6,,,0,,23.015,,0,1657068,0.0,,3,0.0
TQBR,2014-07-11,ТНСэнВорон,VRSB,0,0,,,,23.6,,,0,,23.015,,0,1657068,0.0,,3,0.0
TQBR,2014-07-14,ТНСэнВорон,VRSB,0,0,,,,23.6,,,0,,23.015,,0,1657068,0.0,,3,0.0
TQBR,2014-07-15,ТНСэнВорон,VRSB,1,30000,15.0,15.0,15.0,15.0,15.0,15.0,2000,,22.905,,0,1672068,0.0,,3,0.0
TQBR,2014-07-16,ТНСэнВорон,VRSB,0,0,,,,15.0,,,0,,22.905,,0,1672068,0.0,,3,0.0
TQBR,2014-07-17,ТНСэнВорон,VRSB,0,0,,,,15.0,,,0,,22.905,,0,1672068,0.0,,3,0.0
TQBR,2014-07-18,ТНСэнВорон,VRSB,0,0,,,,15.0,,,0,,22.905,,0,1672068,0.0,,3,0.0
TQBR,2014-07-21,ТНСэнВорон,VRSB,0,0,,,,15.0,,,0,,22.905,,0,1672068,0.0,,3,0.0
TQBR,2014-07-22,ТНСэнВорон,VRSB,0,0,,,,15.0,,,0,,22.905,,0,1672068,0.0,,3,0.0
TQBR,2014-07-23,ТНСэнВорон,VRSB,0,0,,,,15.0,,,0,,22.905,,0,1672068,0.0,,3,0.0
TQBR,2014-07-24,ТНСэнВорон,VRSB,0,0,,,,15.0,,,0,,22.905,,0,1672068,0.0,,3,0.0
TQBR,2014-07-25,ТНСэнВорон,VRSB,0,0,,,,15.0,,,0,,22.905,,0,1672068,0.0,,3,0.0
TQBR,2014-07-28,ТНСэнВорон,VRSB,0,0,,,,15.0,,,0,,22.905,,0,1672068,0.0,,3,0.0
TQBR,2014-07-29,ТНСэнВорон,VRSB,0,0,,,,15.0,,,0,,22.905,,0,1672068,0.0,,3,0.0
TQBR,2014-07-30,ТНСэнВорон,VRSB,0,0,,,,15.0,,,0,,22.905,,0,1672068,0.0,,3,0.0
TQBR,2014-07-31,ТНСэнВорон,VRSB,0,0,,,,15.0,,,0,,22.905,,0,1672068,0.0,,3,0.0
TQBR,2014-08-01,ТНСэнВорон,VRSB,0,0,,,,15.0,,,0,,22.905,,0,1672068,0.0,,3,0.0
TQBR,2014-08-04,ТНСэнВорон,VRSB,0,0,,,,15.0,,,0,,22.905,,0,1672068,0.0,,3,0.0
TQBR,2014-08-05,ТНСэнВорон,VRSB,1,34000,17.0,17.0,17.0,17.0,17.0,17.0,2000,,22.859,,0,1691568,0.0,,3,0.0
TQBR,2014-08-06,ТНСэнВорон,VRSB,0,0,,,,17.0,,,0,,22.859,,0,1691568,0.0,,3,0.0
TQBR,2014-08-07,ТНСэнВорон,VRSB,1,17000,17.0,17.0,17.0,17.0,17.0,17.0,1000,,22.967,,0,1676568,0.0,,3,0.0
TQBR,2014-08-08,ТНСэнВорон,VRSB,0,0,,,,17.0,,,0,,22.967,,0,1676568,0.0,,3,0.0
TQBR,2014-08-11,ТНСэнВорон,VRSB,0,0,,,,17.0,,,0,,22.967,,0,1676568,0.0,,3,0.0
