BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ВыбСудЗ ап,VSYDP,0,0,,,,2340.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-10,ВыбСудЗ ап,VSYDP,0,0,,,,2340.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-11,ВыбСудЗ ап,VSYDP,0,0,,,,2340.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-16,ВыбСудЗ ап,VSYDP,0,0,,,,2340.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-17,ВыбСудЗ ап,VSYDP,0,0,,,,2340.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-18,ВыбСудЗ ап,VSYDP,0,0,,,,2340.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-19,ВыбСудЗ ап,VSYDP,0,0,,,,2340.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-20,ВыбСудЗ ап,VSYDP,0,0,,,,2340.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-23,ВыбСудЗ ап,VSYDP,0,0,,,,2340.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-24,ВыбСудЗ ап,VSYDP,0,0,,,,2340.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-25,ВыбСудЗ ап,VSYDP,0,0,,,,2340.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-26,ВыбСудЗ ап,VSYDP,0,0,,,,2340.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-27,ВыбСудЗ ап,VSYDP,0,0,,,,2340.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-30,ВыбСудЗ ап,VSYDP,0,0,,,,2340.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-01,ВыбСудЗ ап,VSYDP,0,0,,,,2340.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-02,ВыбСудЗ ап,VSYDP,0,0,,,,2340.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-03,ВыбСудЗ ап,VSYDP,0,0,,,,2340.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-04,ВыбСудЗ ап,VSYDP,0,0,,,,2340.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-07,ВыбСудЗ ап,VSYDP,0,0,,,,2340.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-08,ВыбСудЗ ап,VSYDP,0,0,,,,2340.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-09,ВыбСудЗ ап,VSYDP,0,0,,,,2340.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-10,ВыбСудЗ ап,VSYDP,0,0,,,,2340.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-11,ВыбСудЗ ап,VSYDP,0,0,,,,2340.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-14,ВыбСудЗ ап,VSYDP,0,0,,,,2340.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-15,ВыбСудЗ ап,VSYDP,0,0,,,,2340.2,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-16,ВыбСудЗ ап,VSYDP,1,2400,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,1,,,,0,0,0.0,,3,0.0
TQBR,2014-07-17,ВыбСудЗ ап,VSYDP,0,0,,,,2400.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-18,ВыбСудЗ ап,VSYDP,0,0,,,,2400.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-21,ВыбСудЗ ап,VSYDP,0,0,,,,2400.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-22,ВыбСудЗ ап,VSYDP,0,0,,,,2400.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-23,ВыбСудЗ ап,VSYDP,0,0,,,,2400.0,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-24,ВыбСудЗ ап,VSYDP,0,0,,,,2400.0,,,0,,,,0,0,0.0,,3,0.0
