BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2022-12-14,iВУШХолднг,WUSH,47054,525018163.29,239.0,157.0,258.72,185.4,185.46,185.4,2824316,185.89,185.89,185.4,525018163.29,525018163.29,525018163.29,0,3,0.0
TQBR,2022-12-15,iВУШХолднг,WUSH,25891,184237075.83,185.0,182.64,188.3,182.8,184.02,182.8,1001160,184.02,184.02,182.8,184237075.83,184237075.83,184237075.83,0,3,-0.0140237324703343
TQBR,2022-12-16,iВУШХолднг,WUSH,47237,440381101.88,182.81,135.6,183.98,155.0,161.47,155.0,2727321,161.47,161.47,155.0,440381101.88,440381101.88,440381101.88,0,3,-0.1520787746170679
TQBR,2022-12-19,iВУШХолднг,WUSH,21841,169676718.96,155.0,145.01,175.0,159.13,162.75,159.13,1042544,162.75,162.75,159.13,169676718.96,169676718.96,169676718.96,0,3,0.0266451612903225
TQBR,2022-12-20,iВУШХолднг,WUSH,9457,37566843.29,159.0,158.0,168.5,160.48,163.69,160.48,229501,163.69,163.69,160.48,37566843.29,37566843.29,37566843.29,0,3,0.0084836297366932
TQBR,2022-12-21,iВУШХолднг,WUSH,15090,63855691.36,161.5,157.0,171.0,160.67,163.45,160.67,390665,163.45,163.45,160.67,63855691.36,63855691.36,63855691.36,0,3,0.0011839481555333
TQBR,2022-12-22,iВУШХолднг,WUSH,7645,18620506.17,160.67,159.0,162.78,159.4,160.16,159.4,116264,160.16,160.16,159.4,18620506.17,18620506.17,18620506.17,0,3,-0.0079044003236446
TQBR,2022-12-23,iВУШХолднг,WUSH,5230,11381027.8,160.9,157.6,161.0,158.0,158.97,158.0,71591,158.97,158.97,158.0,11381027.8,11381027.8,11381027.8,0,3,-0.0087829360100376
TQBR,2022-12-26,iВУШХолднг,WUSH,15278,99876398.59,158.92,158.52,172.5,165.0,165.64,165.0,602990,165.64,165.64,165.0,99876398.59,99876398.59,99876398.59,0,3,0.0443037974683544
TQBR,2022-12-27,iВУШХолднг,WUSH,6921,20021495.4,164.06,161.6,169.0,162.7,163.89,162.7,122167,163.89,163.89,162.7,20021495.4,20021495.4,20021495.4,0,3,-0.013939393939394
TQBR,2022-12-28,iВУШХолднг,WUSH,6726,13035024.54,162.7,162.7,168.4,164.83,165.71,164.83,78662,165.71,165.71,164.83,13035024.54,13035024.54,13035024.54,0,3,0.0130915795943455
