BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ЯТЭК ао,YAKG,0,0.0,,,,10.0001,,,0,,10.7585,,0.0,570200.1,0.0,,3,0.0
TQBR,2014-06-10,ЯТЭК ао,YAKG,0,0.0,,,,10.0001,,,0,,10.7585,,0.0,570200.1,0.0,,3,0.0
TQBR,2014-06-11,ЯТЭК ао,YAKG,0,0.0,,,,10.0001,,,0,,10.7585,,0.0,570200.1,0.0,,3,0.0
TQBR,2014-06-16,ЯТЭК ао,YAKG,4,99000.0,11.0,11.0,11.0,11.0,11.0,11.0,9000,,10.8826,,0.0,500600.1,0.0,,3,0.0
TQBR,2014-06-17,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.8826,,0.0,500600.1,0.0,,3,0.0
TQBR,2014-06-18,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.8826,,0.0,500600.1,0.0,,3,0.0
TQBR,2014-06-19,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.8826,,0.0,500600.1,0.0,,3,0.0
TQBR,2014-06-20,ЯТЭК ао,YAKG,2,44000.0,11.0,11.0,11.0,11.0,11.0,11.0,4000,,10.892,,0.0,544600.1,0.0,,3,0.0
TQBR,2014-06-23,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.892,,0.0,544600.1,0.0,,3,0.0
TQBR,2014-06-24,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.892,,0.0,544600.1,0.0,,3,0.0
TQBR,2014-06-25,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.892,,0.0,544600.1,0.0,,3,0.0
TQBR,2014-06-26,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.892,,0.0,544600.1,0.0,,3,0.0
TQBR,2014-06-27,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.892,,0.0,544600.1,0.0,,3,0.0
TQBR,2014-06-30,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.892,,0.0,544600.1,0.0,,3,0.0
TQBR,2014-07-01,ЯТЭК ао,YAKG,2,77000.0,11.0,11.0,11.0,11.0,11.0,11.0,7000,,10.9277,,0.0,513600.1,0.0,,3,0.0
TQBR,2014-07-02,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.9277,,0.0,513600.1,0.0,,3,0.0
TQBR,2014-07-03,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.9277,,0.0,513600.1,0.0,,3,0.0
TQBR,2014-07-04,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.9277,,0.0,513600.1,0.0,,3,0.0
TQBR,2014-07-07,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.9277,,0.0,513600.1,0.0,,3,0.0
TQBR,2014-07-08,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.9277,,0.0,513600.1,0.0,,3,0.0
TQBR,2014-07-09,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.9277,,0.0,513600.1,0.0,,3,0.0
TQBR,2014-07-10,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.9277,,0.0,513600.1,0.0,,3,0.0
TQBR,2014-07-11,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.9277,,0.0,513600.1,0.0,,3,0.0
TQBR,2014-07-14,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.9277,,0.0,513600.1,0.0,,3,0.0
TQBR,2014-07-15,ЯТЭК ао,YAKG,0,0.0,,,,11.0,,,0,,10.9277,,0.0,513600.1,0.0,,3,0.0
TQBR,2014-07-16,ЯТЭК ао,YAKG,5,118360.0,15.4,12.5,15.4,12.5,13.1511,12.5,9000,,11.2636,,0.0,506860.1,0.0,,3,0.0
TQBR,2014-07-17,ЯТЭК ао,YAKG,1,13500.0,13.5,13.5,13.5,13.5,13.5,13.5,1000,,11.3191,,0.0,509360.1,0.0,,3,0.08
TQBR,2014-07-18,ЯТЭК ао,YAKG,0,0.0,,,,13.5,,,0,,11.3191,,0.0,509360.1,0.0,,3,0.0
TQBR,2014-07-21,ЯТЭК ао,YAKG,0,0.0,,,,13.5,,,0,,11.3191,,0.0,509360.1,0.0,,3,0.0
TQBR,2014-07-22,ЯТЭК ао,YAKG,0,0.0,,,,13.5,,,0,,11.3191,,0.0,509360.1,0.0,,3,0.0
TQBR,2014-07-23,ЯТЭК ао,YAKG,0,0.0,,,,13.5,,,0,,11.3191,,0.0,509360.1,0.0,,3,0.0
TQBR,2014-07-24,ЯТЭК ао,YAKG,0,0.0,,,,13.5,,,0,,11.3191,,0.0,509360.1,0.0,,3,0.0
TQBR,2014-07-25,ЯТЭК ао,YAKG,0,0.0,,,,13.5,,,0,,11.3191,,0.0,509360.1,0.0,,3,0.0
TQBR,2014-07-28,ЯТЭК ао,YAKG,0,0.0,,,,13.5,,,0,,11.3191,,0.0,509360.1,0.0,,3,0.0
TQBR,2014-07-29,ЯТЭК ао,YAKG,0,0.0,,,,13.5,,,0,,11.3191,,0.0,509360.1,0.0,,3,0.0
TQBR,2014-07-30,ЯТЭК ао,YAKG,6,162990.0,11.0,11.0,14.0,12.2843,11.6421,14.0,14000,,11.7174,,0.0,503850.0,0.0,,3,0.0
