BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Якутскэнрг,YKEN,0,0,,,,0.1334,,,0,,0.1434,,0,573602,0.0,,3,0.0
TQBR,2014-06-10,Якутскэнрг,YKEN,1,1360,0.136,0.136,0.136,0.136,0.136,0.136,10000,,0.1434,,0,574962,0.0,,3,0.0
TQBR,2014-06-11,Якутскэнрг,YKEN,0,0,,,,0.136,,,0,,0.1434,,0,574962,0.0,,3,0.0
TQBR,2014-06-16,Якутскэнрг,YKEN,15,40691,0.1253,0.1253,0.14,0.132,0.1313,0.132,310000,,0.1425,,0,615653,0.0,,3,0.0
TQBR,2014-06-17,Якутскэнрг,YKEN,0,0,,,,0.132,,,0,,0.1425,,0,615653,0.0,,3,0.0
TQBR,2014-06-18,Якутскэнрг,YKEN,0,0,,,,0.132,,,0,,0.1425,,0,615653,0.0,,3,0.0
TQBR,2014-06-19,Якутскэнрг,YKEN,8,18268,0.13,0.13,0.131,0.1309,0.1305,0.131,140000,,0.1403,,0,500886,0.0,,3,0.0
TQBR,2014-06-20,Якутскэнрг,YKEN,1,2502,0.1251,0.1251,0.1251,0.1251,0.1251,0.1251,20000,,0.1402,,0,501889,0.0,,3,-0.0450381679389314
TQBR,2014-06-23,Якутскэнрг,YKEN,34,270659,0.1404,0.14,0.16,0.1503,0.1479,0.145,1830000,,0.1427,,0,557828,0.0,,3,0.1590727418065547
TQBR,2014-06-24,Якутскэнрг,YKEN,39,179146,0.1574,0.145,0.165,0.157,0.1544,0.157,1160000,,0.1482,,0,500776,0.0,,3,0.0827586206896552
TQBR,2014-06-25,Якутскэнрг,YKEN,0,0,,,,0.157,,,0,,0.1482,,0,500776,0.0,,3,0.0
TQBR,2014-06-26,Якутскэнрг,YKEN,2,12045,0.1515,0.15,0.1515,0.15,0.1506,0.15,80000,,0.1486,,0,500779,0.0,,3,0.0
TQBR,2014-06-27,Якутскэнрг,YKEN,3,10518,0.1588,0.143,0.1588,0.143,0.1503,0.143,70000,,0.149,,0,503572,0.0,,3,-0.0466666666666667
TQBR,2014-06-30,Якутскэнрг,YKEN,4,7000,0.14,0.14,0.14,0.14,0.14,0.14,50000,,0.1493,,0,500138,0.0,,3,-0.0209790209790208
TQBR,2014-07-01,Якутскэнрг,YKEN,2,2802,0.1401,0.1401,0.1401,0.1401,0.1401,0.1401,20000,,0.1494,,0,500340,0.0,,3,0.0007142857142856
TQBR,2014-07-02,Якутскэнрг,YKEN,4,46930,0.1561,0.1561,0.157,0.1564,0.1564,0.157,300000,,0.151,,0,515017,0.0,,3,0.1206281227694503
TQBR,2014-07-03,Якутскэнрг,YKEN,1,1351,0.1351,0.1351,0.1351,0.1564,0.1351,0.1351,10000,,0.151,,0,516368,0.0,,3,-0.1394904458598726
TQBR,2014-07-04,Якутскэнрг,YKEN,0,0,,,,0.1564,,,0,,0.151,,0,516368,0.0,,3,0.0
TQBR,2014-07-07,Якутскэнрг,YKEN,1,18317,0.1409,0.1409,0.1409,0.1409,0.1409,0.1409,130000,,0.1506,,0,534685,0.0,,3,0.0
TQBR,2014-07-08,Якутскэнрг,YKEN,0,0,,,,0.1409,,,0,,0.1506,,0,534685,0.0,,3,0.0
TQBR,2014-07-09,Якутскэнрг,YKEN,0,0,,,,0.1409,,,0,,0.1506,,0,534685,0.0,,3,0.0
TQBR,2014-07-10,Якутскэнрг,YKEN,12,93838,0.145,0.1425,0.15,0.145,0.1444,0.145,650000,,0.1513,,0,500926,0.0,,3,0.0
