BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ЗВЕЗДА ао,ZVEZ,0,0,,,,0.3184,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-10,ЗВЕЗДА ао,ZVEZ,0,0,,,,0.3184,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-11,ЗВЕЗДА ао,ZVEZ,0,0,,,,0.3184,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-16,ЗВЕЗДА ао,ZVEZ,0,0,,,,0.3184,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-17,ЗВЕЗДА ао,ZVEZ,0,0,,,,0.3184,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-18,ЗВЕЗДА ао,ZVEZ,0,0,,,,0.3184,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-19,ЗВЕЗДА ао,ZVEZ,0,0,,,,0.3184,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-20,ЗВЕЗДА ао,ZVEZ,0,0,,,,0.3184,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-23,ЗВЕЗДА ао,ZVEZ,0,0,,,,0.3184,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-24,ЗВЕЗДА ао,ZVEZ,0,0,,,,0.3184,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-25,ЗВЕЗДА ао,ZVEZ,0,0,,,,0.3184,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-26,ЗВЕЗДА ао,ZVEZ,0,0,,,,0.3184,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-27,ЗВЕЗДА ао,ZVEZ,0,0,,,,0.3184,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-30,ЗВЕЗДА ао,ZVEZ,0,0,,,,0.3184,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-01,ЗВЕЗДА ао,ZVEZ,0,0,,,,0.3184,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-02,ЗВЕЗДА ао,ZVEZ,0,0,,,,0.3184,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-03,ЗВЕЗДА ао,ZVEZ,0,0,,,,0.3184,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-04,ЗВЕЗДА ао,ZVEZ,0,0,,,,0.3184,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-07,ЗВЕЗДА ао,ZVEZ,0,0,,,,0.3184,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-08,ЗВЕЗДА ао,ZVEZ,0,0,,,,0.3184,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-09,ЗВЕЗДА ао,ZVEZ,0,0,,,,0.3184,,,0,,,,0,0,0.0,,3,0.0
